eeg_mean,eeg_variance,EEG_feature
2418992280708.5786,7.522580643240435e+27,1.0000178695272195
268317794493.42578,9.609963418620722e+25,1.0000002282800424
373542578393.6872,1.8168591872904953e+26,1.0000004315861304
10020555.855687175,1.3918506334329813e+17,1.0000000000000002
4664827736364.314,2.798491617890058e+28,1.000066476817612
18616174.311194304,4.478408119317355e+17,1.000000000000001
8368689.450411573,8.959274896630371e+16,1.0000000000000002
16544381.263618978,3.445351344280434e+17,1.0000000000000009
40944095.15494135,2.1591577286539794e+18,1.000000000000005
10157051.399124011,1.2573986472945672e+17,1.0000000000000002
3189503928.4796615,1.2902418192798587e+22,1.000000000030649
4630858.592036752,2.7605039745123624e+16,1.0
495535194.8972622,3.4144164616861535e+20,1.0000000000008111
26428209.41826544,9.259064294410463e+17,1.0000000000000022
13093613.820202122,2.747910137172032e+17,1.0000000000000007
3258910.0977133038,7222536082309667.0,1.0
3645717.0652210247,8905788876406905.0,1.0
424261158348.72235,2.2849446291870756e+26,1.0000005427775678
18837552851471.137,8.673404264057342e+29,1.002060325318291
643679119941.7814,5.8525575044204126e+26,1.0000013902467861
30570946.244337875,1.196893668532692e+18,1.0000000000000029
192822035.372582,4.546666461432245e+19,1.000000000000108
33065107.02705685,1.4556832705439864e+18,1.0000000000000036
39721077260.45558,2.0052743356694466e+24,1.0000000047634323
5568806.245700933,4.084933694388277e+16,1.0
17704906691754.36,5.4110459343862245e+29,1.0012853678437716
4311869.918664442,1.5162185449375834e+16,1.0
92322738923.93788,6.786625521027864e+24,1.0000000161213014
583904369609.6346,4.356630748231508e+26,1.0000010348966057
986430325361.617,1.2444549087586808e+27,1.0000029561425685
21883751.53830737,6.565483549444036e+17,1.0000000000000016
10375707.181336291,1.4286912092149352e+17,1.0000000000000002
17596918712.526466,4.03310614538654e+23,1.000000000958045
3082070015.259294,6.124315033331173e+21,1.000000000014548
289719007764.7939,1.0870974611455121e+26,1.0000002582347547
6124519.563580039,4.757708947477296e+16,1.0
